RE,MW,Norm,Smooth,Derivative,Calibration,MeanRSQ,MeanRMSE
 0 , 1 , 0 , 1 , 2 , 3 , 1.39636739956296E-02 , 0.111504271428161 
 0 , 1 , 1 , 0 , 0 , 1 , 2.49010835521569E-04 , 0.140007527565515 
 0 , 1 , 1 , 0 , 0 , 3 , 3.57470435179545E-03 , 0.140054445791627 
 0 , 1 , 1 , 0 , 1 , 1 , 1.23486805793988E-03 , 0.12844299255941 
 0 , 1 , 1 , 0 , 1 , 3 , 0.138781768432616 , 0.166368807588147 
 0 , 1 , 1 , 0 , 2 , 1 , 2.32484366145339E-05 , 0.137935602897404 
 0 , 1 , 1 , 0 , 2 , 3 , 4.63389868408704E-02 , 0.151990946752401 
 0 , 1 , 1 , 1 , 0 , 1 , 2.30030404388947E-02 , 0.149455621743224 
 0 , 1 , 1 , 1 , 0 , 3 , 1.02464935013598E-02 , 0.138254984444511 
 0 , 1 , 1 , 1 , 1 , 1 , 2.17061868055032E-02 , 0.124926869703657 
 0 , 1 , 1 , 1 , 1 , 3 , 1.28400593148749E-02 , 0.128029779194473 
 0 , 1 , 1 , 1 , 2 , 1 , 2.01517382485639E-03 , 0.114749916460887 
 0 , 1 , 1 , 1 , 2 , 3 , 1.27818535707654E-02 , 0.153121411029208 
 0 , 1 , 2 , 0 , 0 , 1 , 2.64424662140029E-04 , 0.126141983852058 
 0 , 1 , 2 , 0 , 0 , 3 , 3.42956657285919E-02 , 0.145251433612388 
 0 , 1 , 2 , 0 , 1 , 1 , 1.49652420753032E-02 , 0.120112649092186 
 0 , 1 , 2 , 0 , 1 , 3 , 0.103123855767987 , 0.123359275950159 
 0 , 1 , 2 , 0 , 2 , 1 , 1.68132780744246E-02 , 0.134353405963395 
 0 , 1 , 2 , 0 , 2 , 3 , 1.97751243142286E-03 , 0.182186427060006 
 0 , 1 , 2 , 1 , 0 , 1 , 0.248099809564245 , 0.100236407566303 
 0 , 1 , 2 , 1 , 0 , 3 , 7.95358287200396E-07 , 0.143155148453568 
 0 , 1 , 2 , 1 , 1 , 1 , 6.61283304630077E-04 , 0.122984563318995 
 0 , 1 , 2 , 1 , 1 , 3 , 2.78086842209803E-02 , 0.120249696965485 
 0 , 1 , 2 , 1 , 2 , 1 , 3.27664689131059E-02 , 0.127149599053308 
 0 , 1 , 2 , 1 , 2 , 3 , 8.03016274790147E-06 , 0.127872393788715 
 0 , 1 , 3 , 0 , 0 , 1 , 7.97841675189603E-03 , 0.129089524660496 
 0 , 1 , 3 , 0 , 0 , 3 , 2.00324117744451E-03 , 0.114701037057773 
 0 , 1 , 3 , 0 , 1 , 1 , 4.24502961632808E-03 , 0.117912254210109 
 0 , 1 , 3 , 0 , 1 , 3 , 8.70060965587584E-02 , 0.141039418548433 
 0 , 1 , 3 , 0 , 2 , 1 , 4.29879246176365E-02 , 0.121825114126562 
 0 , 1 , 3 , 0 , 2 , 3 , 0.185776869494959 , 0.143202185536839 
 0 , 1 , 3 , 1 , 0 , 1 , 1.31235425230757E-03 , 0.112597071805138 
 0 , 1 , 3 , 1 , 0 , 3 , 2.16265839457613E-02 , 9.70791937688546E-02 
 0 , 1 , 3 , 1 , 1 , 1 , 2.10995877335185E-03 , 0.115849724857261 
 0 , 1 , 3 , 1 , 1 , 3 , 1.43226564754523E-02 , 0.128347985837829 
