Output_ 1_Actual,Output_ 1_Predicted
 22.86194 , 14.5213323109372 ,Compression
 22.47865 , 14.5212461660542 ,No_Moving_Window
 17.74561 , 14.5213130337293 ,No_Correction
 17.57624 , 14.52149858883 ,No_Smoothing
 17.23715 , 14.5207800085029 ,First_Derivative
 16.72254 , 14.5190188138794 ,Partial_Least_Squares
 16.32074 , 14.5208494485698 
 15.92316 , 14.5195006078705 
 15.30024 , 14.5202099729333 
 15.2025 , 14.5199397482916 
 14.81376 , 14.5195984943675 
 14.58646 , 14.5197608495489 
 14.54471 , 14.5197372832854 
 14.04351 , 14.5187343182958 
 14.04106 , 14.5171804152411 
 13.40557 , 14.5193023801325 
 13.391 , 14.5211578995044 
 13.3846 , 14.5176311752693 
 13.30313 , 14.5208232369731 
 13.20693 , 14.5169015585859 
 12.99011 , 14.5186083965682 
 12.9727 , 14.5190239754808 
 12.96568 , 14.5178441777019 
 12.86445 , 14.5180386463661 
 12.68441 , 14.5186319699309 
 12.66904 , 14.5194701724666 
 12.66524 , 14.5183051691136 
 12.55123 , 14.5190445111509 
 12.49626 , 14.5183442954756 
 12.49325 , 14.5220672959041 
 12.42468 , 14.5182256370562 
 12.4244 , 14.5218062758148 
 12.41628027 , 14.5170568558449 
 12.41351 , 14.5175168077258 
 12.39119 , 14.5174997666848 
 12.32396 , 14.5192191242575 
 12.3169 , 14.5193844677666 
 12.31509 , 14.519137874052 
